PT08.S1(CO),T,RH,AH
1162,30.2,30.2,1.2744
1103,30.5,29.3,1.2612
1120,31.8,27.4,1.2673
1169,34.3,23.2,1.2326
1386,34.1,23.0,1.2081
1426,30.5,29.2,1.2585
1476,28.1,32.4,1.2173
1167,26.5,31.7,1.0787
1032,24.8,33.7,1.0377
1034,23.9,38.1,1.1123
986,23.0,43.0,1.1897
908,23.5,44.7,1.2755
891,22.3,47.7,1.2643
843,22.1,49.8,1.3094
822,21.8,51.4,1.3272
814,20.8,55.9,1.3581
869,18.8,63.0,1.3582
1013,18.3,65.5,1.3686
1515,18.2,66.1,1.3679
1587,19.6,60.7,1.3713
1490,22.6,51.4,1.392
1435,25.8,44.2,1.4512
1246,28.5,39.0,1.4928
1266,30.1,35.1,1.4782
1277,29.4,36.4,1.4718
1142,29.2,37.9,1.5116
1207,30.5,34.9,1.5015
1252,31.5,31.4,1.431
1399,31.2,31.4,1.3987
1464,28.5,37.2,1.4282
1422,26.7,42.3,1.4618
1308,24.8,49.0,1.5092
1137,23.6,53.6,1.5374
1040,23.0,55.8,1.548
1018,22.1,58.4,1.5393
962,22.6,56.3,1.5233
930,21.0,61.3,1.5031
812,23.0,54.0,1.501
826,19.8,65.3,1.4894
878,18.3,70.8,1.4794
922,18.1,72.5,1.4876
1047,18.3,71.0,1.4807
1376,18.5,68.9,1.4565
1514,20.1,62.7,1.461
1494,23.5,52.0,1.4833
1316,26.8,42.7,1.4864
1269,29.1,36.7,1.4543
1152,30.8,32.0,1.4014
1138,27.9,37.0,1.372
1132,28.5,37.3,1.4291
1186,30.2,32.9,1.3865
1228,32.9,27.7,1.3622
1424,32.2,28.8,1.3624
1427,28.8,39.0,1.5203
1387,26.7,43.3,1.4881
1284,24.6,54.0,1.6461
1110,23.4,59.9,1.6992
1110,22.5,62.6,1.6883
1077,22.9,62.0,1.7127
1037,22.2,64.9,1.719
1002,21.4,68.5,1.7261
865,22.2,63.0,1.6673
824,22.4,59.9,1.6069
824,21.1,63.8,1.5817
847,22.9,57.5,1.5879
961,21.3,63.2,1.5794
1336,21.3,63.5,1.5941
1251,23.7,54.4,1.5765
1290,25.0,50.8,1.5903
1215,26.3,48.1,1.6199
1248,26.4,47.3,1.6006
1233,29.3,39.5,1.5855
1229,29.0,39.6,1.5581
1206,29.8,38.0,1.5642
1215,30.4,37.2,1.588
1330,31.5,34.9,1.5903
1446,31.6,34.8,1.5925
1446,29.0,40.5,1.5949
1421,27.2,45.9,1.6302
1247,26.2,48.7,1.6256
1168,25.1,50.5,1.584
1111,24.1,50.7,1.4959
1071,22.5,53.7,1.4486
969,22.7,53.7,1.458
942,21.5,57.9,1.4658
923,22.3,55.8,1.4828
813,22.7,53.8,1.4673
851,21.1,59.9,1.4789
868,20.4,63.0,1.4946
1062,20.8,62.2,1.5119
1418,21.3,61.6,1.5452
1600,21.9,60.2,1.56
1583,23.0,56.4,1.5614
1338,25.1,49.5,1.5572
1285,26.6,44.3,1.5229
1376,26.2,46.0,1.5422
1467,25.4,48.7,1.5594
1442,25.6,48.3,1.558
1358,25.7,47.8,1.5548
1222,24.9,49.2,1.5251
1134,18.3,75.4,1.5682
1120,16.3,73.9,1.3601
1103,15.6,75.7,1.3345
985,15.4,76.6,1.3334
795,14.0,75.4,1.1988
787,14.9,60.5,1.0213
839,15.5,50.9,0.888
835,15.6,50.0,0.8773
837,15.4,53.6,0.9326
761,15.4,53.9,0.9334
718,15.3,52.4,0.9017
724,15.3,53.1,0.9181
718,15.4,53.7,0.9295
744,15.5,53.3,0.9308
782,15.4,52.7,0.9178
798,15.7,51.1,0.9056
867,16.9,47.7,0.9142
862,18.2,41.9,0.8674
915,19.1,37.0,0.8104
857,19.3,34.8,0.771
837,19.8,31.2,0.7127
805,19.8,31.1,0.7104
781,20.2,28.6,0.6717
815,22.1,24.8,0.6514
877,21.1,27.7,0.6853
926,20.1,30.3,0.7045
987,19.5,33.0,0.7384
1004,19.3,32.3,0.7163
897,18.4,33.2,0.6975
1002,17.8,36.5,0.7366
1126,17.8,39.9,0.8035
1067,17.0,43.0,0.8242
1063,15.5,52.2,0.9136
915,15.6,51.9,0.9135
906,13.5,59.4,0.9176
844,13.4,59.9,0.9173
816,12.5,63.2,0.9146
768,13.6,57.6,0.8941
835,12.2,63.2,0.8964
944,14.6,56.4,0.9319
810,19.8,38.6,0.8831
819,21.6,33.4,0.8519
844,22.0,32.2,0.8407
846,22.7,30.2,0.8217
842,22.3,30.4,0.8063
840,22.1,30.5,0.7981
815,22.1,29.5,0.7761
838,23.4,27.1,0.7681
992,23.1,27.0,0.7538
990,21.5,31.4,0.7943
1066,20.3,35.5,0.833
971,19.6,36.3,0.8193
963,18.7,39.7,0.8482
1010,18.0,42.7,0.8745
1054,17.1,47.6,0.9208
998,16.6,51.3,0.9634
919,15.9,55.2,0.9881
884,14.9,58.9,0.9891
803,14.1,61.0,0.9799
820,14.0,62.6,0.9948
894,14.1,61.7,0.9844
988,14.4,60.3,0.9802
1372,15.0,57.7,0.9778
1209,16.9,50.3,0.958
951,19.7,40.2,0.9108
992,22.2,33.6,0.8886
964,23.7,29.6,0.8537
917,21.9,30.7,0.7961
937,22.3,29.5,0.7838
961,23.8,27.0,0.7845
969,23.3,28.3,0.8012
1020,24.2,27.2,0.8128
1107,25.1,25.8,0.8065
1119,22.3,29.2,0.7773
1173,20.8,32.5,0.7873
1097,19.1,36.8,0.8066
1018,18.1,39.9,0.8232
932,17.4,42.8,0.8463
897,16.7,46.6,0.8793
840,17.1,46.8,0.9054
802,15.3,51.9,0.8982
765,15.0,52.8,0.8929
741,14.4,54.5,0.8887
748,12.8,59.8,0.8801
791,11.9,62.7,0.8726
875,12.1,62.6,0.8825
1085,13.5,58.2,0.8944
1268,14.4,55.7,0.9087
1236,17.8,45.7,0.9224
1274,21.0,37.2,0.9155
1250,24.5,29.8,0.9008
1224,26.4,26.4,0.8969
1220,25.2,26.8,0.8451
1166,26.1,24.8,0.8283
1050,26.2,24.4,0.8174
1174,28.9,21.3,0.8382
1323,28.0,23.3,0.8681
1432,24.7,27.9,0.8559
1479,23.0,33.6,0.9302
1309,20.9,45.8,1.1159
1089,19.8,48.6,1.113
1009,19.8,47.7,1.0885
930,18.6,49.1,1.0435
929,17.2,53.9,1.0498
872,16.3,56.8,1.047
790,17.4,53.4,1.0541
793,15.5,58.8,1.0309
789,14.6,62.1,1.0236
769,17.1,52.5,1.013
852,15.2,58.3,0.9986
1100,14.9,59.2,0.9985
1326,15.1,59.0,1.0086
1433,19.0,47.8,1.0434
1310,22.4,38.8,1.04
1304,25.4,33.3,1.0679
1286,27.2,30.4,1.081
1217,25.5,34.8,1.1152
1104,26.4,28.5,0.9658
1143,27.7,25.1,0.9158
1205,28.6,23.2,0.8917
1276,27.2,26.3,0.9317
1440,25.3,33.0,1.0473
1467,23.2,36.9,1.0346
1339,21.6,43.3,1.1019
1108,21.1,44.8,1.1088
1116,19.7,49.3,1.1148
981,20.3,47.8,1.1281
947,19.4,50.3,1.1201
939,18.3,53.1,1.1056
862,17.5,56.1,1.1103
827,19.2,50.3,1.1087
879,16.6,59.6,1.117
911,17.5,57.1,1.1311
1051,17.6,57.6,1.1471
1496,18.0,57.0,1.1665
1610,18.5,55.9,1.1779
1428,18.6,57.2,1.2146
1459,20.2,53.0,1.2407
1486,21.3,50.1,1.2539
1158,24.6,42.8,1.3053
1200,24.6,44.1,1.3477
1290,25.6,43.4,1.4049
1366,26.1,42.6,1.4172
1505,25.8,44.8,1.4644
1728,25.4,47.9,1.5346
1673,24.6,50.0,1.5241
1636,23.6,54.4,1.5687
1468,22.6,59.5,1.6155
1180,22.1,61.3,1.6133
1138,22.1,61.3,1.6053
1192,21.1,64.7,1.5956
1176,20.3,66.4,1.5591
1137,19.4,69.3,1.5418
1035,19.0,70.8,1.5417
943,20.2,65.8,1.5442
904,19.8,67.2,1.5322
966,19.0,70.3,1.5308
1124,18.8,71.8,1.5372
1348,20.2,66.3,1.555
1499,20.8,64.3,1.563
1427,22.3,59.3,1.5705
1473,23.2,56.6,1.5929
1440,23.8,54.7,1.587
1474,23.5,56.2,1.6048
1485,23.9,54.4,1.5963
1306,25.4,47.4,1.517
1464,26.4,45.4,1.54
1629,25.8,46.9,1.5375
1629,25.3,49.6,1.5805
1707,24.2,54.3,1.6117
1424,22.8,58.1,1.5951
1297,21.5,63.2,1.5993
1214,21.3,63.0,1.5798
1160,20.8,64.1,1.554
1232,20.6,64.0,1.5346
1134,20.6,63.4,1.519
1071,20.4,64.4,1.522
968,21.3,61.0,1.529
994,20.5,64.0,1.5247
1046,20.3,65.3,1.5321
1066,20.1,65.9,1.5321
1277,20.2,65.6,1.5368
1290,21.1,62.8,1.5481
1268,22.5,57.5,1.5518
1243,24.2,51.9,1.5426
1300,25.2,48.9,1.5437
1278,25.8,47.8,1.5662
1249,25.7,49.2,1.5988
1145,25.8,49.6,1.6213
1199,25.7,48.8,1.5913
1236,26.5,45.9,1.5626
1289,25.4,48.9,1.565
1299,24.4,52.5,1.583
1506,23.9,54.6,1.5936
1432,22.9,57.9,1.5958
1193,22.1,61.1,1.6012
1188,20.8,65.6,1.5898
1162,21.7,60.8,1.563
1106,21.1,62.8,1.5505
1037,20.7,63.2,1.524
982,21.2,61.5,1.5241
944,20.3,64.6,1.518
929,20.2,64.4,1.5035
906,20.1,65.3,1.5153
907,19.9,66.0,1.5141
1013,19.8,66.4,1.5145
1055,20.4,64.1,1.5178
1138,21.6,60.8,1.5496
1250,23.5,54.5,1.5553
1165,25.7,46.6,1.5105
1229,26.6,43.7,1.5031
1168,27.4,41.8,1.5056
1092,27.4,42.8,1.5344
1109,27.1,43.3,1.5255
1133,26.9,44.4,1.551
1192,26.9,44.4,1.5538
1298,24.7,51.9,1.5868
1524,23.7,55.6,1.6074
1540,22.7,59.6,1.6261
1190,21.9,61.4,1.5946
1092,22.0,59.8,1.562
1079,20.5,64.9,1.5473
995,19.8,66.9,1.5277
960,18.4,71.6,1.4997
890,18.9,68.6,1.4818
860,17.8,72.3,1.4546
860,17.1,73.9,1.4262
883,17.7,70.3,1.4088
929,17.1,71.8,1.3936
1100,18.3,67.5,1.4044
1257,18.5,67.0,1.4135
1402,19.9,61.7,1.4193
1376,22.9,52.6,1.4519
1374,24.2,49.0,1.4586
1381,25.8,44.7,1.459
1282,26.0,44.5,1.4731
1188,27.1,40.2,1.4217
1227,27.4,39.8,1.4318
1364,28.9,36.3,1.4291
1531,28.4,37.5,1.4251
1694,26.0,43.9,1.4562
1723,24.3,49.6,1.486
1356,23.3,53.0,1.4939
1084,22.6,55.1,1.4899
1039,21.2,59.3,1.4787
1011,20.6,60.9,1.4642
968,20.0,63.1,1.4592
867,19.7,63.4,1.4383
820,20.8,58.8,1.4305
826,17.8,69.8,1.4058
835,18.8,65.3,1.4023
887,17.6,69.5,1.3889
990,17.4,69.7,1.3714
1511,17.4,70.1,1.3783
1352,18.5,65.5,1.3787
1337,20.6,58.5,1.4054
1435,23.9,48.7,1.4269
1377,26.0,43.8,1.4499
1562,28.6,37.3,1.4423
1358,27.9,38.0,1.4029
1301,28.4,37.6,1.4282
1255,28.5,37.3,1.4329
1410,30.8,31.8,1.3908
1578,29.7,33.1,1.3546
1700,27.0,40.2,1.4158
1778,25.6,47.5,1.539
1539,23.9,57.2,1.6774
1409,22.7,60.8,1.6582
1231,21.8,59.9,1.5492
1092,22.4,58.3,1.561
1036,21.7,60.2,1.5442
984,21.2,61.4,1.5258
950,19.3,68.4,1.513
889,19.8,65.1,1.49
865,20.0,62.9,1.4495
917,18.3,68.5,1.4291
997,18.1,68.5,1.4067
1433,17.6,70.5,1.4057
1516,18.3,67.8,1.4091
1528,20.4,61.2,1.447
1347,22.5,55.6,1.499
1392,25.7,46.4,1.507
1359,26.8,44.6,1.5467
1391,26.0,46.4,1.5414
1335,26.3,46.0,1.5478
1402,27.4,43.9,1.5811
1406,29.6,36.7,1.4936
1527,28.7,37.3,1.4486
1559,25.7,44.1,1.4331
1840,24.5,49.5,1.5022
1666,23.3,54.4,1.5386
1336,22.4,57.9,1.5449
1189,22.7,55.8,1.5218
1226,20.4,62.4,1.4758
1171,20.3,64.2,1.5063
1002,21.4,60.6,1.5236
950,20.3,66.3,1.5657
930,20.9,62.2,1.5182
924,19.9,66.1,1.5198
994,19.8,67.1,1.5305
1089,20.1,64.4,1.4967
1468,19.7,66.4,1.5035
1696,20.9,62.4,1.5226
1479,22.5,57.0,1.5314
1425,23.5,53.4,1.5241
1279,24.7,48.2,1.4802
1319,27.1,40.9,1.4405
1329,25.9,44.2,1.4576
1327,26.9,41.8,1.4555
1282,27.2,40.7,1.4481
1342,28.6,37.6,1.4468
1623,28.0,38.5,1.437
1576,25.2,45.8,1.4464
1747,24.0,50.6,1.4892
1757,23.2,54.7,1.5296
1331,22.3,57.1,1.5219
1182,21.8,58.2,1.5036
1162,20.9,61.3,1.4923
1147,20.6,62.0,1.4827
1040,20.3,62.5,1.472
920,20.5,62.1,1.4771
931,18.7,68.5,1.4586
954,18.2,70.3,1.4498
981,18.2,70.1,1.4552
1147,18.2,70.0,1.4519
1606,19.4,66.5,1.4801
1490,19.5,66.9,1.4999
1473,21.1,61.1,1.5056
1582,23.2,54.7,1.5349
1468,24.4,52.5,1.5807
1413,26.4,45.8,1.553
1400,27.7,39.2,1.4356
1361,28.0,39.6,1.4738
1389,28.7,38.4,1.486
1305,28.5,39.4,1.5147
1354,28.4,39.8,1.5191
1352,26.4,45.9,1.5572
1472,25.2,49.5,1.5665
1412,24.9,50.9,1.5856
1221,24.6,52.2,1.5951
1230,24.0,54.4,1.6049
1247,23.8,56.1,1.6298
1217,22.3,60.6,1.608
1158,21.9,61.5,1.5967
1150,21.1,64.5,1.594
1061,21.0,64.4,1.5828
1062,21.3,63.9,1.5951
1157,20.8,66.7,1.6201
1167,20.6,67.5,1.621
1403,20.9,66.3,1.6165
1453,21.5,63.7,1.6186
1455,23.7,56.0,1.6238
1512,26.0,48.2,1.598
1331,28.5,42.4,1.6286
1472,28.1,45.3,1.6957
1430,29.0,43.9,1.7309
1264,28.9,44.3,1.7392
1378,29.6,42.3,1.7248
1377,29.4,42.9,1.7308
1527,28.7,45.1,1.7468
1573,27.0,51.2,1.7928
1674,26.5,52.7,1.7966
1455,26.2,51.7,1.7334
1242,24.8,56.4,1.7447
1181,24.9,56.0,1.7367
1468,24.5,57.5,1.7433
1520,24.7,56.9,1.7438
1203,23.9,59.2,1.7327
1096,23.8,60.2,1.7515
991,23.5,61.3,1.7538
941,22.8,64.0,1.7507
952,22.2,65.6,1.7355
1082,21.3,69.1,1.7275
1095,21.3,68.2,1.7127
1049,22.2,65.2,1.7256
1055,24.1,59.0,1.7449
1074,24.3,61.6,1.8468
1229,24.8,59.6,1.8351
1228,24.5,58.8,1.7838
1107,21.0,76.8,1.8881
1031,19.8,78.0,1.7879
1155,19.4,80.5,1.7917
1131,19.6,79.1,1.7877
1143,20.8,73.1,1.7695
1145,21.1,68.6,1.7014
1169,21.1,68.3,1.6914
1105,21.2,67.7,1.6848
1049,20.8,68.6,1.6719
1069,20.8,68.1,1.6585
1073,20.7,68.4,1.6507
1039,20.1,70.5,1.6384
1021,20.2,67.9,1.5901
825,19.4,70.4,1.5663
828,18.8,73.8,1.5885
847,17.9,77.7,1.5795
903,18.2,76.9,1.5945
1041,18.6,74.9,1.5918
1314,19.6,70.3,1.5821
1326,20.2,66.6,1.5567
1464,19.7,68.9,1.5638
1313,19.2,73.4,1.6192
1202,20.0,69.6,1.607
1225,21.1,64.0,1.5795
1257,20.2,67.4,1.5832
1271,20.2,68.9,1.6074
1179,21.9,57.6,1.4942
1278,23.2,52.0,1.4642
1435,21.7,59.1,1.5115
1326,20.8,61.4,1.4898
1324,19.9,64.2,1.4711
1206,19.7,65.1,1.4769
1052,20.0,63.3,1.4672
1057,19.0,66.1,1.4415
952,18.8,60.9,1.3032
911,18.9,60.7,1.311
898,18.1,65.2,1.343
809,18.3,65.1,1.3529
823,18.3,66.9,1.3952
814,17.8,67.5,1.3674
857,16.9,66.7,1.2772
935,17.8,60.6,1.2276
1159,17.6,60.8,1.2151
1102,17.9,57.8,1.1751
979,18.1,56.4,1.1645
998,18.2,55.9,1.1547
962,19.7,49.1,1.1148
985,20.8,45.8,1.1126
1043,20.5,46.0,1.1
929,18.9,50.6,1.0927
946,18.4,51.6,1.0832
955,17.9,52.6,1.0711
1004,17.1,54.2,1.0503
1037,16.5,56.2,1.0455
1066,16.7,54.1,1.0212
890,15.4,57.7,1.0008
843,15.5,57.1,0.9971
834,15.6,55.9,0.985
809,14.8,58.4,0.9777
786,14.8,57.9,0.9662
747,14.6,57.6,0.9517
723,14.6,57.1,0.9428
704,14.4,57.6,0.9416
709,14.5,57.4,0.9413
726,14.3,58.4,0.9501
798,14.7,57.4,0.9564
925,14.3,58.1,0.9404
906,14.0,58.3,0.9294
896,15.4,53.2,0.9246
882,16.5,49.9,0.9289
948,17.4,47.6,0.9387
945,18.0,46.1,0.9401
942,17.9,46.5,0.9474
943,17.4,48.3,0.955
894,16.0,52.6,0.9489
984,15.3,58.7,1.0154
1044,15.2,55.9,0.9572
981,14.8,56.3,0.9459
1021,14.7,57.8,0.9626
943,14.8,57.3,0.9603
863,14.9,57.1,0.9581
847,15.2,55.5,0.9521
859,15.3,55.4,0.9564
861,15.1,56.9,0.9673
786,15.0,56.4,0.9554
740,14.9,56.4,0.9474
730,15.2,54.7,0.9394
728,15.1,55.4,0.9439
755,14.9,56.8,0.9541
854,15.2,55.9,0.9589
1079,15.3,56.3,0.9684
1097,15.6,55.4,0.9725
1024,16.3,53.3,0.9809
990,20.4,42.2,0.9964
1013,21.9,39.4,1.0234
1051,21.5,41.2,1.0399
1052,22.2,41.4,1.097
1141,21.0,46.8,1.1508
1130,21.9,44.9,1.1635
1099,21.5,46.7,1.1837
1182,19.7,56.6,1.2811
1211,18.8,60.8,1.3036
1340,19.3,59.6,1.3195
1299,17.6,69.2,1.3803
1046,16.4,77.1,1.4243
949,16.6,77.3,1.4491
966,15.9,78.1,1.4039
1062,15.1,82.3,1.4009
934,14.8,83.8,1.4005
862,14.4,84.6,1.3794
823,15.8,77.6,1.3792
839,15.2,79.4,1.3605
879,14.8,81.9,1.3735
1095,14.6,82.9,1.3706
1359,14.8,80.4,1.3428
1354,15.6,77.1,1.3527
1420,17.3,70.9,1.3876
1265,22.2,51.3,1.3543
1146,24.4,43.9,1.3184
1150,22.7,47.6,1.2989
1282,20.5,61.5,1.4673
1067,23.3,40.4,1.1421
1185,23.2,39.9,1.1172
1312,21.5,44.5,1.129
1319,20.9,48.5,1.1878
1255,19.8,53.1,1.216
1123,20.1,53.6,1.2477
1126,19.6,56.0,1.2623
924,18.6,60.4,1.2817
982,14.5,78.3,1.288
936,16.3,70.5,1.2921
1069,14.1,83.8,1.346
967,14.5,81.3,1.3399
869,14.7,80.7,1.3414
916,14.5,82.1,1.3493
886,15.0,78.4,1.3333
926,14.5,80.5,1.3221
971,14.6,79.0,1.3082
1029,15.0,74.8,1.2672
1124,15.9,70.4,1.2658
1063,17.4,62.3,1.2282
1028,21.3,42.9,1.0727
944,22.0,38.9,1.0154
913,20.3,41.3,0.9745
966,20.2,45.6,1.0663
833,20.8,37.4,0.9107
891,21.6,35.9,0.9164
995,22.0,35.7,0.9329
1038,19.9,42.0,0.9665
1146,19.2,46.3,1.0158
1059,17.9,56.9,1.1545
1065,14.7,75.5,1.2554
1013,15.1,78.9,1.3409
942,17.2,66.7,1.2987
925,15.4,73.2,1.2755
871,16.5,68.5,1.2753
864,16.4,70.3,1.3031
929,15.4,78.1,1.3557
912,15.8,75.5,1.3436
817,16.0,69.5,1.2549
786,15.0,71.0,1.2032
827,13.9,75.2,1.1884
789,15.9,62.1,1.1103
875,15.9,61.0,1.0911
959,17.1,58.7,1.1332
969,19.2,51.9,1.1404
947,21.5,42.6,1.0798
960,21.6,39.9,1.0156
1017,21.6,40.4,1.0309
979,22.0,37.3,0.9768
843,22.1,35.2,0.9253
877,22.4,36.0,0.9621
1053,20.9,40.3,0.9866
1047,19.8,41.5,0.9489
1105,18.2,46.0,0.9538
1008,17.3,50.3,0.9837
975,15.8,57.6,1.0271
954,15.5,59.7,1.0413
987,15.5,60.6,1.0574
880,15.8,59.9,1.0676
856,14.8,64.3,1.073
788,14.8,64.7,1.0788
760,13.8,67.6,1.0581
777,14.5,65.0,1.0672
825,14.0,67.4,1.0703
1011,12.6,73.6,1.0699
1237,13.3,70.4,1.0711
1298,14.4,65.8,1.0773
1153,16.8,57.8,1.0947
1101,19.7,49.3,1.1199
1215,21.1,47.2,1.1659
1163,22.2,43.2,1.1427
1285,21.4,47.2,1.1927
1288,19.9,55.4,1.2702
1362,20.3,54.0,1.2744
1405,20.0,56.5,1.3051
1610,19.7,57.8,1.3138
1612,19.3,59.0,1.3077
1520,18.5,60.3,1.2706
1489,17.8,66.3,1.341
1181,17.6,65.9,1.3175
995,17.5,63.5,1.2622
998,16.5,67.2,1.2491
984,16.2,69.1,1.259
1022,14.9,74.7,1.2564
951,14.1,76.7,1.2273
910,14.0,76.6,1.2202
932,14.9,73.8,1.24
974,15.2,73.1,1.257
1117,15.2,73.4,1.2626
1367,15.2,74.7,1.2824
1583,15.8,71.7,1.278
1526,16.6,68.4,1.2829
1399,17.6,64.9,1.2925
1436,18.3,63.8,1.331
1455,19.4,61.1,1.3652
1311,20.9,58.1,1.4193
1174,22.0,54.0,1.4114
1242,22.8,53.0,1.4482
1267,21.7,57.6,1.4756
1401,21.3,60.8,1.5205
1428,21.2,61.7,1.5309
1478,21.2,62.2,1.5473
1518,20.8,65.1,1.5782
1468,19.9,69.0,1.5877
1369,18.8,73.7,1.5785
1244,19.2,71.3,1.5723
1217,19.0,71.6,1.5549
1103,19.5,69.7,1.5596
1118,19.4,70.1,1.5626
1087,18.4,74.5,1.5634
1069,18.7,73.4,1.5701
1112,18.4,74.6,1.5631
1196,18.5,74.4,1.5661
1522,18.8,73.0,1.5737
1715,19.9,69.9,1.6036
1582,21.3,66.1,1.6556
1494,23.0,61.8,1.7135
1631,22.4,64.6,1.7271
1650,23.8,59.9,1.7376
1640,24.7,56.9,1.7472
1589,25.4,55.1,1.761
1538,25.7,54.5,1.7684
1597,24.8,57.7,1.7765
1884,24.6,58.9,1.8005
1835,23.9,61.8,1.8088
1759,23.0,65.9,1.8319
1666,22.4,67.7,1.8161
1506,22.0,69.2,1.8061
1378,21.8,69.6,1.79
1448,21.9,68.3,1.7699
1481,21.7,69.7,1.7872
1289,21.3,70.3,1.7574
1109,20.8,71.7,1.7415
994,21.4,69.0,1.7421
1015,21.4,69.3,1.7515
966,21.3,69.5,1.7447
1088,21.5,67.5,1.708
1303,21.9,64.8,1.683
1440,22.6,61.4,1.6645
1392,22.6,61.5,1.6636
1248,25.5,52.3,1.6796
1197,27.0,47.6,1.67
1357,25.2,53.3,1.6834
1263,26.6,49.3,1.6872
1261,27.2,48.5,1.7172
1382,26.9,50.0,1.7507
1400,26.5,52.2,1.7769
1443,27.0,51.0,1.7936
1630,25.9,55.8,1.8347
1720,25.1,59.4,1.8632
1600,24.7,58.7,1.8001
1525,23.6,62.2,1.7863
1544,22.4,67.1,1.794
1455,21.6,69.2,1.763
1203,21.3,68.5,1.7164
1038,21.2,68.6,1.7046
975,20.3,70.6,1.6659
917,20.8,67.3,1.6353
930,19.6,71.3,1.612
960,18.7,74.4,1.5861
982,19.8,69.2,1.5808
1359,19.8,69.4,1.5859
1500,20.4,66.7,1.5781
1315,22.3,60.6,1.6069
1307,22.6,59.9,1.6246
1235,24.5,54.5,1.6514
1310,24.4,55.4,1.6712
1459,26.0,51.9,1.7148
1461,26.8,49.1,1.7101
1476,26.4,49.8,1.6928
1612,26.9,48.6,1.7017
1654,26.2,48.9,1.634
1808,24.3,54.3,1.6276
1681,23.3,58.1,1.6457
1494,22.3,62.5,1.6616
1251,21.3,66.1,1.6556
1132,21.2,65.7,1.6319
1158,20.3,68.1,1.6009
1146,20.4,66.7,1.583
993,19.9,67.5,1.5544
989,19.1,70.0,1.5331
943,19.3,68.1,1.5139
910,19.6,66.9,1.5125
925,18.1,72.1,1.4834
1039,18.1,72.3,1.4927
1208,17.6,74.8,1.491
1268,18.2,72.8,1.5048
1353,20.2,65.8,1.5374
1317,21.6,61.4,1.5696
1356,23.3,57.5,1.6169
1414,25.0,52.4,1.6356
1326,25.4,50.8,1.6275
1211,26.1,47.1,1.5724
1324,27.0,44.2,1.549
1324,27.2,43.0,1.5246
1361,25.6,48.3,1.5641
1475,23.3,57.9,1.6376
1537,22.2,63.6,1.6763
1413,21.6,67.7,1.7228
1229,21.0,69.3,1.7058
1297,20.3,70.5,1.6599
1302,20.0,69.5,1.6109
1347,19.7,70.1,1.5891
1165,19.5,70.7,1.5851
1155,19.4,71.4,1.5959
1050,19.3,71.1,1.5746
1035,18.7,73.8,1.5704
1057,18.0,75.4,1.5441
1029,17.3,78.4,1.532
1037,17.5,76.6,1.5174
920,20.0,66.7,1.5401
1080,19.1,70.0,1.5366
1152,21.4,61.7,1.5547
1085,24.6,50.4,1.5363
1071,25.0,49.1,1.5295
1000,25.3,46.7,1.4874
1058,24.8,47.9,1.4819
1184,25.3,48.0,1.5249
1189,26.5,44.9,1.5278
1277,25.0,50.1,1.563
1482,22.9,57.6,1.5885
1555,21.7,62.9,1.6117
1324,21.8,63.0,1.619
1015,21.2,63.4,1.5748
1010,20.2,65.8,1.535
1081,18.4,71.5,1.5038
1071,17.9,72.4,1.4758
1014,16.9,75.4,1.4393
891,16.5,75.5,1.4056
874,15.4,79.0,1.3735
882,15.5,78.6,1.37
940,16.2,76.9,1.4029
1020,15.8,79.6,1.417
1316,16.0,76.3,1.3772
1423,16.3,74.3,1.3644
1314,18.7,66.3,1.414
1317,20.5,60.2,1.4346
1305,19.3,66.2,1.4706
1351,20.0,63.9,1.4805
1438,21.4,59.4,1.4928
1454,21.5,60.9,1.5398
1512,21.6,60.9,1.5551
1584,21.6,62.0,1.5784
1816,21.7,61.9,1.592
1824,21.0,64.9,1.5987
1744,20.0,68.6,1.5882
1588,19.3,71.4,1.5805
1319,18.5,73.4,1.5461
1313,17.7,75.6,1.5226
1073,18.5,70.4,1.487
1119,17.0,76.1,1.4582
989,16.8,74.9,1.4258
912,15.5,78.5,1.3782
904,15.3,79.0,1.3605
851,15.0,77.9,1.3197
902,14.8,79.4,1.3312
981,15.7,77.0,1.3591
1267,16.2,75.9,1.3872
1392,16.3,75.9,1.3991
1308,17.7,70.6,1.4202
1313,18.3,67.6,1.4103
1350,20.1,62.0,1.4409
1477,22.6,54.5,1.4737
1409,24.6,47.1,1.4378
1495,24.9,48.3,1.4942
1606,24.9,50.0,1.5522
1669,24.0,55.0,1.6211
1822,23.2,58.7,1.651
1908,22.5,61.5,1.6579
1664,22.2,61.0,1.6071
1465,22.6,58.3,1.5829
1076,21.0,57.4,1.4098
1055,19.8,63.7,1.4524
1075,17.7,78.8,1.5855
1135,17.6,80.5,1.6062
998,17.4,81.3,1.6066
953,17.4,81.0,1.6012
926,17.2,81.8,1.5856
895,17.0,81.0,1.5521
967,16.8,81.3,1.5447
1164,17.6,78.8,1.5723
1421,18.0,75.7,1.5527
1465,18.0,74.8,1.5281
1189,18.2,74.0,1.5343
1278,19.7,65.4,1.4854
1169,21.0,57.9,1.4267
1214,20.7,58.6,1.4142
1351,19.5,67.1,1.506
1340,18.5,76.2,1.6045
1157,19.6,69.7,1.5675
1118,19.9,65.3,1.5066
1150,20.0,63.3,1.4622
1247,19.2,66.4,1.4592
1194,19.3,67.5,1.4977
1184,18.2,71.4,1.4776
990,17.8,71.2,1.4396
933,17.6,69.9,1.3969
